Frequência,Nome,Preço,Link
3,Celular Apple iPhone 13 128GB Câmera Dupla,"R$ 3.549,00",https://www.zoom.com.br/celular/smartphone-apple-iphone-13-128gb-ios?_lc=11
3,Celular Apple iPhone 14 128GB Câmera Dupla,"R$ 3.999,00",https://www.zoom.com.br/celular/smartphone-apple-iphone-14-128gb-camera-dupla?_lc=11
3,Smartphone Apple iPhone 14 Plus 128GB Câmera Dupla,"R$ 4.199,00",https://www.zoom.com.br/celular/smartphone-apple-iphone-14-plus-128gb-camera-dupla?_lc=11
3,Smartphone Apple iPhone 12 128GB Câmera Dupla,"R$ 3.098,70",https://www.zoom.com.br/celular/smartphone-apple-iphone-12-128gb-ios?_lc=11
3,Smartphone Apple iPhone 12 64GB Câmera Dupla,"R$ 2.699,10",https://www.zoom.com.br/celular/smartphone-apple-iphone-12-64gb-ios?_lc=11
3,Smartphone Apple iPhone 14 vermelho 128GB Câmera Dupla,"R$ 4.977,00",https://www.zoom.com.br/celular/smartphone-apple-iphone-14-vermelho-128gb-camera-dupla?_lc=11
3,Smartphone Apple iPhone 13 256GB Câmera Dupla,"R$ 4.249,00",https://www.zoom.com.br/celular/smartphone-apple-iphone-13-256gb-ios?_lc=11
3,Smartphone Apple iPhone 11 Usado 128GB Câmera Dupla,"R$ 1.528,55",https://www.zoom.com.br/celular/smartphone-apple-iphone-11-usado-128gb-ios?_lc=11
3,Smartphone Apple iPhone 13 Pro Usado 128GB Câmera Tripla,"R$ 3.661,19",https://www.zoom.com.br/celular/smartphone-apple-iphone-13-pro-usado-128gb-camera-tripla?_lc=11
3,Smartphone Apple iPhone 14 Plus vermelho 128GB Câmera Dupla,"R$ 4.491,76",https://www.zoom.com.br/celular/smartphone-apple-iphone-14-plus-vermelho-128gb-camera-dupla?_lc=11
3,Smartphone Apple iPhone 13 Usado 128GB Câmera Dupla,"R$ 2.898,00",https://www.zoom.com.br/celular/smartphone-apple-iphone-13-usado-128gb-camera-dupla?_lc=11
3,Smartphone Apple iPhone 11 128GB Câmera Dupla,"R$ 2.969,10",https://www.zoom.com.br/celular/smartphone-apple-iphone-11-128gb-ios?_lc=11
3,Smartphone Apple iPhone 11 Vermelho Usado 4 GB 64GB Câmera Dupla Apple A13 Bionic 1 Chip iOS 13,"R$ 1.459,00",https://www.zoom.com.br/celular/smartphone-apple-iphone-11-vermelho-usado-64gb-camera-dupla?_lc=11
3,Smartphone Apple iPhone XR Usado 128GB 12.0 MP,"R$ 1.120,05",https://www.zoom.com.br/celular/smartphone-apple-iphone-xr-usado-128gb?_lc=11
3,Smartphone Apple iPhone 12 Usado 128GB Câmera Dupla,"R$ 2.199,00",https://www.zoom.com.br/celular/smartphone-apple-iphone-12-usado-128gb-camera-dupla?_lc=11
3,Smartphone Apple iPhone XR Usado 64GB 12.0 MP,"R$ 1.006,05",https://www.zoom.com.br/celular/smartphone-apple-iphone-xr-usado-64gb-ios?_lc=11
3,Smartphone Apple iPhone 12 Usado 64GB Câmera Dupla,"R$ 1.979,10",https://www.zoom.com.br/celular/smartphone-apple-iphone-12-usado-64gb-camera-dupla?_lc=11
3,Smartphone Apple iPhone 13 Pro Max Usado 256GB Câmera Tripla,"R$ 4.260,06",https://www.zoom.com.br/celular/smartphone-apple-iphone-13-pro-max-usado-256gb-camera-tripla?_lc=11
